23,Groupe Bertrand - Angelina (Parent),,,,,,,France
36,Sushi SHop Amiens,,,,,80000.0,,France
61,Sushi shop Vieux Lille,,,,,59000.0,,France
87,IBIS ANGERS,,,,,41000.0,,France
98,Le Christine,,,+33 1 40 51 71 64,,75006.0,,France
154,DEL ARTE BASTIDE,,,05 56 85 43 15,,33140.0,,France
194,Crescendo Restauration Siège,,,,,47310.0,,France
215,POULAILLON,,,03 89 33 89 89,,,,France
420,LA CHOPE DAGUERRE,,,01 43 22 76 59,,75014.0,,France
443,GABYLOU,,,,,75017.0,,France
475,Côté Sushi Rambuteau,,,,,75003.0,,France
588,Crescendo Cahors,,,,,46000.0,,France
610,Planet Sushi Boulogne Billancourt,,,01 41 10 90 90,,92100.0,,France
632,TOT OU TARD,,,,,34000.0,,France
637,PINOCCHIO,,,,,75014.0,,France
683,BALSAMO,,,03 88 23 18 29,,67000.0,,France
753,ATSU ATSU,,,01 42 60 82 74,,75002.0,,France
783,COMPTOIR MODERNE,,,0147341494,,75015.0,,France
785,Ten Belles Bread,,,,,75011.0,,France
840,Cubana Café,,,01 40 46 80 81,,75006.0,,France
863,Big Fernand (Réseau),,,,,,,
963,Djawa République,,,,,75010.0,,France
1111,Il Gallo Nero,,,01 42 18 00 38,,75014.0,,France
1150,Daroco,,,,,75002.0,,France
1164,la foir fouille,,,,,77340.0,,France
1242,LE BISTROT DES ANGES,,,+33 5 56 79 14 57,,33000.0,,France
1246,La Mansarde,,,,,88000.0,,France
1267,Bonvivant,,,+33 1 43 26 51 34,,75005.0,,France
1290,MOMA GROUP,,,,,75016.0,,France
1329,O'Sullivan's,,,,,,,
1357,Crep'eat Filiales (Parent),,,,,,,France
1421,LES PRINCES,,,01 46 51 05 88,,75016.0,,France
1497,Honor Café,,,,,75008.0,,France
1507,Garden Ice (Parent),,,,,,,
1519,Le Boeuf sur la Place,,,+33 5 56 15 09 10,,31600.0,,France
1520,Bagelstein Pyramides,,,01 42 61 06 32,,75001.0,,
1551,Bagelstein Neuilly,,,01 58 83 52 92,,92200.0,,France
1705,Anticafe Beaubourg,https://www.anticafe.eu/,,01 73 73 10 74,,75003.0,Paris,France
1752,Le paradis du fruit Tournelles,,,,,75004.0,,France
1762,Les Amis de Messina (PARENT),,,01 42 61 13 73,,75002.0,,
1766,L'Alsacien,,,,,,,France
1830,O Charolais,,,01 34 64 02 17,,95310.0,,France
1852,Bene Kitchen,,,0149965358,,75008.0,,France
1860,Planet Sushi Doumer,,,01 40 72 15 15,,75016.0,,France
1884,John Viande,,,+33 1 45 89 40 23,,75010.0,,France
1923,LA BOUCHERIE (PARENT),,,,,,,
1950,Financiere BCL,,,,,69008.0,,France
1969,LE BELLEVUE,,,,,9400.0,,
2054,Bistro Gourmand,,,01 34 89 25 36,,78760.0,,France
2079,LA BOUCHERIE SAINT-DIZIER,,,0325056968,,52100.0,,France
2093,Umami,,,,,75003.0,,France
2141,MEMPHIS COFFEE,,,04 66 67 91 65,,30900.0,,France
2313,SENSAS,,,,,13002.0,,
2332,TERRES DE CAFÉ,,,01 42 78 49 79,,75004.0,,France
2389,STARTERS UNITED,,,,,93600.0,,France
2401,BABE,,,,,58000.0,,
2416,OKKO HOTELS (parent),,,,,75009.0,,France
2479,Jean Burger Restau,,,,,87000.0,,France
2763,Hélène Darroze Paris 6,,,,,,,France
2879,BAGUETT'S CAFE,,,,,75001.0,,France
2949,HOTELS DE BRIENNE VINUALES,,,0562944866,,31000.0,,
2959,Sacré Frenchy !,,,,,75003.0,,France
3013,Bistrot Victoires,,,01 42 61 43 78,,75001.0,,France
3160,L'envue,,,01 42 65 10 49,,75008.0,,France
3183,POSTICHE,,,+33 1 40 28 99 04,,75001.0,,France
3425,Ange Libourne,,,05 57 51 84 27,,33500.0,,
3462,Siège Franprix,,,,,94430.0,,France
3502,PALAIS DU BONHEUR,,,01 46 51 46 68,,75016.0,,France
3658,Fermier Gourmet,,,33156069250,,75003.0,,France
3817,Hotel Kyriad Clermont Ferrand Centre,,,04 73 93 22 22,,63000.0,,
3865,Pizza les artistes,,,01 45 77 79 70,,75015.0,,
3907,Cafe Marlette (Parent),,,,,,,
3989,O'tacos Montpellier,,,04 67 27 98 77,,34000.0,,France
3990,Hotel Kyriad Lyon Sud Saint Genis Laval,,,33 4 78 56 78 04,,69230.0,,
4021,Neo Bento (Parent),,,,,75003.0,,
4198,Ange Begles,,,05 56 84 13 83,,33130.0,,France
4438,FLORA NOVA,,,,,33000.0,,France
4554,Passarito,,,,,75011.0,,France
4668,MAISON LANDEMAINE (parent),,,01 43 31 42 95,,75005.0,,France
4688,Alain Ducasse (Parent),,,01 53 67 65 00,,40000.0,,
4934,CAFE DE MENILMONTANT,,,0147000898,,75011.0,,
4988,EDITO DUNKERQUE,,,03 28 21 01 01,,59140.0,,France
5159,Bagelstein Colmar,,,,,68000.0,,
5270,L'union Fait La Sauce,,,03 20 76 76 76,,59200.0,,
5280,Café Joseph,,,04 67 66 31 95,,34000.0,,
5324,Jaïs,,,01 45 51 98 16,,75007.0,,France
5332,FRUISY FOCH,,,,,69006.0,,France
5450,LA TERRASSE SAINT CATHERINE,,,01 42 77 46 15,,75004.0,,
5524,DALKIA,,,,,76172.0,,
5571,Le Mirabeau,,,01 45 24 54 27,,75016.0,,
5778,Bagelstein_Le Pontet,,,,,,,
5824,QUICK,,,,,,,France
6058,LE VALENTIN,,,0147641120,,75017.0,,France
6067,Pullman Paris La Défense,,,,,92400.0,,France
6117,JADIS ET GOURMANDE,,,01 42 25 06 04,,75008.0,,
6206,MEMPHIS LENS,,,03 21 13 80 06,,62119.0,,France
6346,Matsuri (Parent),,,0820 23 11 11,,69009.0,,
6392,Yogurt Factory (Parent),,,0972552695,,75002.0,,
6476,PONTIVY COMMUNAUTE,,,,,56300.0,,
6599,AU LOUP,,,,,75009.0,,
6628,Planet Sushi Neuilly,,,01 55 24 00 00,,92200.0,,
6741,Père et Fish,,,,,75009.0,,
6898,RISI E BISI,,,+33 1 45 22 80 37,,75008.0,,
7026,FLAMS SIEGE,,,0388529058,,,,France
7035,PIERRE HERME PARIS,,,,,94550.0,,France
